檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
11,台灣第一個拿到Fold7的人！我好開心啊～～🥰 #GalaxyZFold7,2025/7/10,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=bt85BTgbiSo,是,影片發布時間早於商品上市時間，必定是廠商業配,bt85BTgbiSo
12,日本超有名的生甜甜圈I’m donut？來台灣啦！來吃吃看什麼口味最好吃～,2025/7/4,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=8xA0lHsJmn0,否,雖然影片拍攝特定店家，但無#也無特定商業推薦，只是搭上潮流前往餐廳拍攝,8xA0lHsJmn0
13,洪瑞珍竟然有維力炸醬麵版？大阪萬博的台灣館獨家限定口味，聽說下午就會賣完，一個800日圓，奢華但蠻有特色的！#萬博美食 #大阪旅遊 #洪瑞珍 #維力炸醬麵,2025/7/1,旅遊/航空,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=lyCSLfdh69I,否,雖然有#洪瑞珍 #維力炸醬麵等具體商家與商品，但主軸其實是參加前面#萬博美食 #大阪旅遊的限定特色食品，並非受該廠商邀請,lyCSLfdh69I
14,可以自動追蹤人眼來達到3D顯示的黑科技螢幕！最大優勢就是不用頭戴任何裝置自動把2D畫面變成3D！但除了售價奢華，要求的最低顯卡建議在RTX3080以上！#3D螢幕 #裸視3D #odyssey3d,2025/5/3,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=YTyRC8vp3WI,是,該影片與標題具備強推薦功能，且有實際#商品重點功能,YTyRC8vp3WI
15,在韓國自製專屬地鐵交通卡！只要按照介面上傳照片即可，還可以自己添加卡片文字！超簡單～ #韓國旅遊 #地鐵卡,2025/4/3,旅遊/航空,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=5V0oZyGjgzQ,否,無商業行為,5V0oZyGjgzQ
16,傳說全世界的蘋果專賣店螢幕角度都是76度，為的竟然是要讓消費者忍不住去轉螢幕？,2025/3/27,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=3mZB_dr4mdc,否,無商業行為,3mZB_dr4mdc
17,iPhone 16e實機開箱！雖然大家都嫌貴，但這個背面的美感不輸當年的iPhone 4阿~ #iphone16e,2025/2/27,3C開箱評測,Shorts,非業配,0,,TRUE,每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=ec_Knbmr5GI,是,影片發布時間早於商品上市時間，必定是廠商業配,ec_Knbmr5GI
18,一個人8500的無菜單料理有多瘋狂？貴是真的貴，但好吃也是真的好好吃🤤 #すし謙  #無菜單料理 #奢華,2025/2/26,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=L8AT1OVX8gY,否,該影片是joe是要對決的精華片段,L8AT1OVX8gY
19,"S25 Ultra 新機搶先看！#S25Ultra #GalaxyAI#GalaxyUnpacked",2025/1/23,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=SxMLEsBGl5Y,是,影片發布時間早於商品上市時間，必定是廠商業配,SxMLEsBGl5Y
20,用橡皮筋綁住耳朵竟然能消水腫？實測小紅書秘技是否有效！,2025/1/11,挑戰/企劃,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=82lcyVVlSGc,否,無商業行為,82lcyVVlSGc
21,大家有一直被媽媽敷衍的經驗嗎？但想想我自己也很常敷衍她🤣,2024/11/2,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=po8LTdZOuAM,否,無商業行為,po8LTdZOuAM
22,一開始看發表會覺得AirPods Max只改顏色跟TypeC很敷衍，但實際看到新顏色後又不爭氣的覺得好美⋯蘋果調色真的世界一流！,2024/9/10,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=GdqaTFzJlx0,討論後判定,影片發布時間早於商品上市時間，但該影片為廠商的商品發布會，受邀參加是否算商業業配影片，由你來判斷,GdqaTFzJlx0
23,來看一下我的R1 Mega都裝了啥？,2024/6/12,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=h4Nl5kI75Z8,是,該影片雖無#也無說明欄，但影片內容為強行銷，且在影片內提供了優惠軸扣碼,h4Nl5kI75Z8
24,Line的貼圖現在可以合併使用！組合起來超好笑！,2024/5/8,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=sReiGg5cTIs,否,該影片為跟上當下流行的話題影片,sReiGg5cTIs
25,人生第一次看NBA就上大螢幕！太爽啦！,2024/5/1,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=2fhr0vgxI7A,否,無商業行為,2fhr0vgxI7A
26,傳說中的電動皮卡Cybertruck！,2024/4/12,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=ALIdXqcOrPM,是,雖然沒有#內容，但該影片內容為強行銷，推測為同時期長影片的精華版，可以對照同時期的長影片，看是否為業配影片,ALIdXqcOrPM
27,我最想拍的對決是什麼？,2024/3/25,挑戰/企劃,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=igY8SrLE5P4,否,無商業行為,igY8SrLE5P4
28,帶小12歲的女生去打網咖是怎樣的體驗？包廂直接有床太舒服了吧～#網咖 #約會,2023/12/21,挑戰/企劃,Shorts,非業配,0,,FALSE,帶小12歲的女生去打網咖是怎樣的體驗？包廂直接有床太舒服了吧～ ⏎ #網咖 #約會,https://www.youtube.com/watch?v=L3Hc_i7ISpQ,否,無商業行為,L3Hc_i7ISpQ
29,很像Switch的PC遊戲掌機，手把還能當槍柄，很酷但台灣還沒上市！#legiongo #遊戲掌機 #lenovo,2023/12/17,遊戲實況,Shorts,非業配,1,新品發表用語,FALSE,很像Switch的PC遊戲掌機，手把還能當槍柄，很酷但台灣還沒上市！ ⏎ #legiongo #遊戲掌機 #lenovo,https://www.youtube.com/watch?v=r_up9lhgvSk,是,影片標題有直接#商品廠商、商品種類、商品名,r_up9lhgvSk
30,日本天婦羅對決！平價的全東京超多分店超划算，奢華的則是傳說中的日本料理三神之一的天婦羅之神！#天婦羅 #天婦羅之神 #天丼 #JOE是要對決 #shorts,2023/11/22,挑戰/企劃,Shorts,非業配,0,,TRUE,每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=IVQ6LbB9wNg,否,為當期對決的精華影片,IVQ6LbB9wNg
31,爸爸突然說可以請假出去玩…結果…#新豐街底迪,2023/10/25,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=mUqTILQxdz0,否,無商業行為,mUqTILQxdz0
32,當你發現李多慧跟你比的愛心怪怪的…#李多慧 #樂天桃猿 #樂天女孩,2023/10/10,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=0H9vXCYuO2U,否,無商業行為,0H9vXCYuO2U
33,911GT3RS ASMR 992#911 #gt3rs #asmr #992,2023/10/3,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=A1uI8Hyo9FQ,是,影片標題有直接#商品名,A1uI8Hyo9FQ
34,男模會館對決！來這裏就是當女王！#男模會館 #男模店 #八大,2023/9/18,挑戰/企劃,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=Zi4-OCT2xQA,否,無商業行為,Zi4-OCT2xQA
35,每週換口味的水果冰淇淋！#瑰季 #冰淇淋 #台北甜點 #霜淇淋 #胖哥,2023/9/4,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=l-m2X_RbVKQ,否,該影片是joe是要對決的精華片段,l-m2X_RbVKQ
36,朝思暮想的橋村炸雞終於在台灣開分店了！蜂蜜炸雞的還原度我覺得有到90%！#橋村 #韓式炸雞 #宵夜 #板橋車站,2023/8/31,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=wd6Klzm3B7U,否,推測為當下流行話題的影片,wd6Klzm3B7U
37,真的有牛舌的牛舌餅！#八和燒肉 #牛舌 #創意料理,2023/8/10,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=KZC_0ft3MfE,否,該影片是joe是要對決的精華片段,KZC_0ft3MfE
38,用VR頭盔看片看到一半發現女優就在旁邊是怎樣的體驗？#河北彩花 #中指通 #整人,2023/8/8,挑戰/企劃,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=n9FShTOu83Y,否,為同時期長影片的精華版，可以對照同時期的長影片是否為，看是否為業配影片,n9FShTOu83Y
39,突然上架的黃色iPhone 14開箱！值不值得買？#shorts #iphone #iphone14 #黃色,2023/3/9,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=knt4yvAfdQ0,是,影片發布時間早於商品上市時間，必定是廠商業配,knt4yvAfdQ0
40,超療癒！把攝影器材都貼膜！ #攝影包膜 #鏡頭包膜,2023/2/25,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=HvsokQKO8s8,是,影片內容強行銷，且#商品種類,HvsokQKO8s8
